F_0,M_0,O_0,dia
40.09660800970873,36.739020966110274,29.656833333333335,2016-03-25
41.306793467933495,36.66723582899305,0.0,2016-03-26
47.777314453477864,47.403667509363295,0.0,2016-03-27
34.23974925997426,28.46960541107383,0.0,2016-03-28
31.765384143518517,24.53810502672011,0.0,2016-03-29
27.87639315403423,26.1704248015873,0.0,2016-03-30
38.45861212962963,37.600272597507036,0.0,2016-03-31
27.097706964285713,28.398743203680468,26.009616666666666,2016-04-01
32.38206413210445,36.45697678684377,0.0,2016-04-02
63.44644916201117,44.822302787068004,112.972,2016-04-03
28.155243830128203,25.575498521375764,0.0,2016-04-04
32.90614162660256,29.310700273487775,98.46783333333333,2016-04-05
30.81445859760395,25.445201936669495,101.78695,2016-04-06
29.500773614035086,25.55434895222129,99.15666666666667,2016-04-07
28.086796218206157,24.12194099552573,0.0,2016-04-08
34.768557322006465,35.26241123752495,0.0,2016-04-09
53.28763708240535,39.53195485264228,0.0,2016-04-10
28.5310901336478,25.90664053926206,0.0,2016-04-11
29.432942655875298,24.87519397689769,24.917,2016-04-12
30.237109116022094,30.253526073446327,0.0,2016-04-13
33.60050116504854,26.26361583405111,0.0,2016-04-14
31.186165784671534,24.409471536624203,0.0,2016-04-15
34.09999064748201,33.42688658293461,65.17445,2016-04-16
47.16245516956162,38.951756793893125,109.74838333333334,2016-04-17
31.452620336700335,25.315535066780335,0.0,2016-04-18
27.650448123620315,25.79687480305268,0.0,2016-04-19
32.51431666666667,29.557132944915253,0.0,2016-04-20
43.9643658997955,38.67678014018692,104.70722500000001,2016-04-21
30.865876530612244,33.26362587168758,0.0,2016-04-22
38.456721402214015,31.162243903688527,52.575116666666666,2016-04-23
47.48915140961857,44.238822350674376,54.747233333333334,2016-04-24
29.7780903803132,27.188897190728145,27.64494583333333,2016-04-25
30.88109183848797,27.83048767772512,0.0,2016-04-26
31.061892803638305,25.302626901004306,0.0,2016-04-27
32.79597676438654,32.02961597836775,0.0,2016-04-28
34.606955157232704,29.564415799943166,0.0,2016-04-29
38.27572598566309,32.55248409863946,0.0,2016-04-30
50.97469600665558,43.63122424916574,0.0,2016-05-01
27.428703446418954,25.82917604466859,0.0,2016-05-02
33.46965022075055,26.069633152566883,84.7446,2016-05-03
27.96534824691358,24.59233128813559,0.0,2016-05-04
29.051601717464926,24.730039587536428,40.250283333333336,2016-05-05
33.18257151799688,30.441081236962873,0.0,2016-05-06
35.38796453781513,30.251200898021306,0.0,2016-05-07
47.133203858625166,42.97036379380603,164.56606666666667,2016-05-08
31.95534116161616,26.660946955913225,0.0,2016-05-09
27.520426051560374,26.85457098577236,0.0,2016-05-10
29.488237272240085,28.108922417017297,0.0,2016-05-11
32.77012742296918,24.742251763252465,0.0,2016-05-12
29.96425993065874,27.29189021348552,20.725383333333333,2016-05-13
35.060490233722874,29.906068391787855,51.66485,2016-05-14
45.812882125246546,41.79098820681037,29.190833333333334,2016-05-15
29.56196643162393,25.49389686468647,56.81478333333333,2016-05-16
29.52929362745098,26.888734227507374,145.41671666666667,2016-05-17
31.20003415477735,27.190513133289844,0.0,2016-05-18
28.950380689509302,27.579017492625372,357.411,2016-05-19
34.3659743498818,31.33541414654808,39.14111666666667,2016-05-20
46.98013154380341,37.705430422125175,34.165233333333326,2016-05-21
46.01367037037036,40.39902148708255,57.89735833333333,2016-05-22
35.04768262505534,25.954686307189544,0.0,2016-05-23
32.60974525898079,25.907410965751964,0.0,2016-05-24
29.3366283446712,26.746468462878294,0.0,2016-05-25
45.2447098173516,42.362441284538505,0.0,2016-05-26
33.62397604617605,28.671863739545998,0.0,2016-05-27
38.023391705790296,33.4943403066271,14.525025,2016-05-28
49.04541255033557,44.49459305697714,82.10656666666667,2016-05-29
32.29453281397545,24.188806460549642,0.0,2016-05-30
36.74705722627737,31.90159022175041,85.12283333333333,2016-05-31
34.57992790697674,36.45896537089872,6.901883333333333,2016-06-01
48.492649122807016,44.86618932889218,38.478883333333336,2016-06-02
33.659413467492264,32.737687789266374,10.05655,2016-06-03
37.94106355371901,37.16588870056497,0.0,2016-06-04
53.03591344153141,43.07892341632088,0.0,2016-06-05
32.177856768837806,27.45856654345878,116.68321666666667,2016-06-06
31.641491008230453,29.310356473988442,4.27755,2016-06-07
34.07912622377622,29.32166155541562,70.67266666666666,2016-06-08
28.987922835352173,28.3929307055659,94.69361666666667,2016-06-09
35.100274823578246,32.19059586691465,10.5105,2016-06-10
38.28672498695879,32.05717371903153,0.0,2016-06-11
46.52780146520146,42.69018111566018,29.1925,2016-06-12
32.87024932170542,30.780131791143422,77.09972222222223,2016-06-13
29.41878633972191,26.322705383141763,32.42145,2016-06-14
29.80283922663358,28.841627510398098,25.2085,2016-06-15
32.444089384288745,26.560085414153598,47.75933333333333,2016-06-16
31.617178174097667,31.385814997900923,59.14686666666667,2016-06-17
40.79850581453634,31.711260335810625,41.083727777777774,2016-06-18
55.40314789729969,49.21309074242425,46.42468888888889,2016-06-19
32.87880275750203,26.750178375400644,187.47630833333332,2016-06-20
35.40875355805243,33.00214880642361,40.876475,2016-06-21
30.7053618315508,29.194335348212437,26.850666666666665,2016-06-22
28.37080448548813,26.69555254218716,79.47556666666667,2016-06-23
36.31065681003584,29.281176182277317,0.0,2016-06-24
43.98095181547618,33.8134346092504,34.66605833333333,2016-06-25
49.145064007877885,41.34760745473908,0.0,2016-06-26
31.286877506426734,29.993098627450983,95.16390416666665,2016-06-27
32.592395670498085,27.842145697876035,0.0,2016-06-28
36.658027288655276,28.805304732103643,0.0,2016-06-29
36.106433213141024,27.82296058039747,65.20471666666666,2016-06-30
29.97573226524255,28.588651729259496,0.0,2016-07-01
41.11696704545455,31.791570265515034,0.0,2016-07-02
49.681038315696654,41.02648022151899,0.0,2016-07-03
36.529175664095966,32.201909512837396,28.92638888888889,2016-07-04
32.23150767288268,27.504209534161493,8.954416666666667,2016-07-05
31.930326121015664,29.09480260651629,47.488225,2016-07-06
36.626046536025335,30.101595971613445,31.702954761904756,2016-07-07
33.10291307692307,28.704022913832198,113.7425,2016-07-08
34.4766083590535,36.52515009049774,27.093466666666668,2016-07-09
51.06627661443495,41.49737609606706,104.98489166666666,2016-07-10
34.83694352415753,28.936716717603915,94.37195277777778,2016-07-11
32.849055923589205,27.911099631228637,86.57825,2016-07-12
34.677724864969136,26.462095915324987,48.53711190476191,2016-07-13
32.306636523216305,27.583412751004012,139.88021666666666,2016-07-14
39.8163371278826,31.965692703301126,26.755391666666664,2016-07-15
41.26149389067524,35.45377331790124,22.611853333333336,2016-07-16
53.76425972789116,46.78018512250161,89.07777777777778,2016-07-17
32.493863149847094,29.106845902777778,18.677058333333335,2016-07-18
39.85041848691696,29.782363585351444,85.890825,2016-07-19
36.41265577069096,30.059990301596688,19.488223333333334,2016-07-20
36.875437475345166,30.001051685510888,0.0,2016-07-21
35.314904726368155,29.606548496818082,62.26338333333333,2016-07-22
37.807653292806485,31.966857699275366,44.34161666666667,2016-07-23
47.023668275245754,40.47662279146141,129.5742,2016-07-24
34.35737079457364,29.087681671794872,122.70628055555552,2016-07-25
34.3015444824962,26.470654440532076,25.48925,2016-07-26
36.00201650641026,29.020155367561262,253.75128333333333,2016-07-27
39.69827052469136,32.69615538892222,38.229902380952375,2016-07-28
33.589076087931815,30.18037322551662,34.389522222222226,2016-07-29
42.89396215119229,32.26092041083916,44.66509833333334,2016-07-30
44.45850478123591,44.25639928593132,19.714308333333335,2016-07-31
32.849753148148146,30.21879986102839,30.74645,2016-08-01
30.596275161535537,30.167655494975413,58.56955555555555,2016-08-02
29.489324953755087,25.846863219461696,39.25555,2016-08-03
30.492855692972125,29.56040136202953,32.40379166666667,2016-08-04
32.089533487044356,27.4801596706524,25.064641666666667,2016-08-05
39.17133765792031,31.792081108312345,27.95407777777778,2016-08-06
49.41018362869198,42.832580970680326,0.0,2016-08-07
36.89873631808279,31.802288010540185,21.088508333333333,2016-08-08
38.15455276803119,33.9026520179841,63.56787222222223,2016-08-09
29.086880891472873,25.98586051968198,37.41390416666667,2016-08-10
32.44486302023673,28.430364858314693,37.256820000000005,2016-08-11
33.2177299031477,29.464163729053094,87.07478333333333,2016-08-12
38.81040354223433,32.84439884744885,49.274883333333335,2016-08-13
53.16253553113554,47.17108404896422,26.23602916666667,2016-08-14
49.09997176034347,40.21397424735557,33.4039875,2016-08-15
33.32297784580499,28.332841785998408,39.49198333333333,2016-08-16
30.04900118910625,26.821933128032846,54.59266666666667,2016-08-17
31.955163539518903,27.832585508399646,0.0,2016-08-18
29.990472958426135,27.78518368851003,0.0,2016-08-19
37.543612190187154,31.209817421441773,0.0,2016-08-20
51.90385488951575,46.8134631468981,0.0,2016-08-21
31.566786892259817,24.44834090583602,7.61345,2016-08-22
31.880363352941178,32.04225099343623,12.28605,2016-08-23
29.303991502890174,28.837987449799197,0.0,2016-08-24
37.79384982973893,27.939232433467357,11.133666666666667,2016-08-25
28.501873831367412,30.276524123555053,58.70773333333333,2016-08-26
37.404274852071005,31.469312265163715,45.160066666666665,2016-08-27
54.96091259590793,40.80451980786825,82.85293333333334,2016-08-28
30.400579613645704,28.857790898214613,23.590241666666664,2016-08-29
29.575070628571428,32.100838121546964,46.64095,2016-08-30
31.433371278140886,27.890540868454657,10.550083333333333,2016-08-31
32.23200019425019,29.723280060709545,35.879866666666665,2016-09-01
32.61560532212885,27.48445770894789,32.203583333333334,2016-09-02
38.351942335390945,34.53010066395664,39.286275,2016-09-03
49.42066342465754,44.49093390591148,54.74883333333333,2016-09-04
31.539882857709078,28.630327567829454,27.98645,2016-09-05
32.84088667481663,24.1635692791762,13.243791666666667,2016-09-06
44.82360781466114,40.4992798855165,35.54496666666667,2016-09-07
31.96708752568845,24.515137359055675,9.7585,2016-09-08
33.54402702050663,27.93404862657758,9.754444444444443,2016-09-09
44.934088161764706,37.07674702892885,16.175666666666668,2016-09-10
51.42393403165734,51.66565106642291,5.619783333333333,2016-09-11
32.044667001576045,25.740629860313813,29.533583333333333,2016-09-12
34.64692817008352,26.645986995840115,30.982208333333332,2016-09-13
32.95226258823529,28.976700682314412,19.295139583333334,2016-09-14
31.5627493125,27.157048477842,12.313145833333333,2016-09-15
36.51242824133504,25.67435312207889,10.452733333333333,2016-09-16
36.71146467304625,32.99383520710059,16.83609166666667,2016-09-17
51.14108320396723,45.17128157819635,48.161116666666665,2016-09-18
28.979772717885172,25.557270316301704,183.70907499999998,2016-09-19
30.252610644768854,29.716952944539738,11.079533333333334,2016-09-20
31.699112590975254,25.4227390134938,12.712116666666667,2016-09-21
30.012303728070176,28.84428515048268,297.91816666666665,2016-09-22
33.16266675603217,28.265907055618186,17.067316666666667,2016-09-23
37.656152370791844,38.909836785009865,38.387025,2016-09-24
58.323746077184055,46.1876051249649,67.07916666666667,2016-09-25
27.61054403080873,27.304645523581137,0.0,2016-09-26
31.63926538778878,26.227799209486168,22.139861111111113,2016-09-27
35.95318487518355,31.66453410451824,18.320554166666668,2016-09-28
32.42817201591512,32.680745803852204,0.0,2016-09-29
